tfbh,name,ename,is_current,begin_time,end_time,land,time,lng,lat,strong,power,speed,move_dir,move_speed,pressure,radius7,radius10,radius12,radius7_quad,radius10_quad,radius12_quad,remark,forecast
197301,-,Wilda,0,1973-06-28T14:00:00,1973-07-06T08:00:00,"[{'position': '福建省.漳州市.龙海市.隆教', 'land_time': '1973/7/3 14:00:00', 'lng': 118.123032, 'lat': 24.269096}]",1973-06-28T14:00:00,127.8,10.5,,5,10,,,1004,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
197301,-,Wilda,0,1973-06-28T14:00:00,1973-07-06T08:00:00,"[{'position': '福建省.漳州市.龙海市.隆教', 'land_time': '1973/7/3 14:00:00', 'lng': 118.123032, 'lat': 24.269096}]",1973-06-28T20:00:00,127.4,11.5,,5,10,,,1004,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
197301,-,Wilda,0,1973-06-28T14:00:00,1973-07-06T08:00:00,"[{'position': '福建省.漳州市.龙海市.隆教', 'land_time': '1973/7/3 14:00:00', 'lng': 118.123032, 'lat': 24.269096}]",1973-06-29T02:00:00,126.9,12.5,,5,10,,,1004,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
197301,-,Wilda,0,1973-06-28T14:00:00,1973-07-06T08:00:00,"[{'position': '福建省.漳州市.龙海市.隆教', 'land_time': '1973/7/3 14:00:00', 'lng': 118.123032, 'lat': 24.269096}]",1973-06-29T08:00:00,126.4,13.4,热带低压(TD),7,15,,,1004,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
197301,-,Wilda,0,1973-06-28T14:00:00,1973-07-06T08:00:00,"[{'position': '福建省.漳州市.龙海市.隆教', 'land_time': '1973/7/3 14:00:00', 'lng': 118.123032, 'lat': 24.269096}]",1973-06-29T14:00:00,125.6,14.2,热带低压(TD),7,15,,,1004,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
197301,-,Wilda,0,1973-06-28T14:00:00,1973-07-06T08:00:00,"[{'position': '福建省.漳州市.龙海市.隆教', 'land_time': '1973/7/3 14:00:00', 'lng': 118.123032, 'lat': 24.269096}]",1973-06-29T20:00:00,124.5,15.0,热带低压(TD),7,15,,,1004,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
197301,-,Wilda,0,1973-06-28T14:00:00,1973-07-06T08:00:00,"[{'position': '福建省.漳州市.龙海市.隆教', 'land_time': '1973/7/3 14:00:00', 'lng': 118.123032, 'lat': 24.269096}]",1973-06-30T02:00:00,123.3,15.9,热带低压(TD),7,15,,,1004,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
197301,-,Wilda,0,1973-06-28T14:00:00,1973-07-06T08:00:00,"[{'position': '福建省.漳州市.龙海市.隆教', 'land_time': '1973/7/3 14:00:00', 'lng': 118.123032, 'lat': 24.269096}]",1973-06-30T08:00:00,122.1,16.5,热带低压(TD),7,15,,,1004,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
197301,-,Wilda,0,1973-06-28T14:00:00,1973-07-06T08:00:00,"[{'position': '福建省.漳州市.龙海市.隆教', 'land_time': '1973/7/3 14:00:00', 'lng': 118.123032, 'lat': 24.269096}]",1973-06-30T14:00:00,121.0,16.9,热带低压(TD),7,15,,,1003,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
197301,-,Wilda,0,1973-06-28T14:00:00,1973-07-06T08:00:00,"[{'position': '福建省.漳州市.龙海市.隆教', 'land_time': '1973/7/3 14:00:00', 'lng': 118.123032, 'lat': 24.269096}]",1973-06-30T20:00:00,120.0,17.5,热带低压(TD),7,15,,,1003,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
197301,-,Wilda,0,1973-06-28T14:00:00,1973-07-06T08:00:00,"[{'position': '福建省.漳州市.龙海市.隆教', 'land_time': '1973/7/3 14:00:00', 'lng': 118.123032, 'lat': 24.269096}]",1973-07-01T02:00:00,119.2,17.9,热带低压(TD),7,15,,,1002,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
197301,-,Wilda,0,1973-06-28T14:00:00,1973-07-06T08:00:00,"[{'position': '福建省.漳州市.龙海市.隆教', 'land_time': '1973/7/3 14:00:00', 'lng': 118.123032, 'lat': 24.269096}]",1973-07-01T08:00:00,118.8,18.4,热带风暴(TS),8,20,,,998,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
197301,-,Wilda,0,1973-06-28T14:00:00,1973-07-06T08:00:00,"[{'position': '福建省.漳州市.龙海市.隆教', 'land_time': '1973/7/3 14:00:00', 'lng': 118.123032, 'lat': 24.269096}]",1973-07-01T14:00:00,118.5,18.9,热带风暴(TS),8,20,,,996,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
197301,-,Wilda,0,1973-06-28T14:00:00,1973-07-06T08:00:00,"[{'position': '福建省.漳州市.龙海市.隆教', 'land_time': '1973/7/3 14:00:00', 'lng': 118.123032, 'lat': 24.269096}]",1973-07-01T20:00:00,118.2,19.5,强热带风暴(STS),10,25,,,994,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
197301,-,Wilda,0,1973-06-28T14:00:00,1973-07-06T08:00:00,"[{'position': '福建省.漳州市.龙海市.隆教', 'land_time': '1973/7/3 14:00:00', 'lng': 118.123032, 'lat': 24.269096}]",1973-07-02T02:00:00,118.0,20.1,强热带风暴(STS),10,25,,,990,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
197301,-,Wilda,0,1973-06-28T14:00:00,1973-07-06T08:00:00,"[{'position': '福建省.漳州市.龙海市.隆教', 'land_time': '1973/7/3 14:00:00', 'lng': 118.123032, 'lat': 24.269096}]",1973-07-02T08:00:00,117.8,20.8,强热带风暴(STS),11,30,,,982,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
197301,-,Wilda,0,1973-06-28T14:00:00,1973-07-06T08:00:00,"[{'position': '福建省.漳州市.龙海市.隆教', 'land_time': '1973/7/3 14:00:00', 'lng': 118.123032, 'lat': 24.269096}]",1973-07-02T14:00:00,117.7,21.4,强热带风暴(STS),11,30,,,982,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
197301,-,Wilda,0,1973-06-28T14:00:00,1973-07-06T08:00:00,"[{'position': '福建省.漳州市.龙海市.隆教', 'land_time': '1973/7/3 14:00:00', 'lng': 118.123032, 'lat': 24.269096}]",1973-07-02T20:00:00,117.6,22.0,强热带风暴(STS),11,30,,,982,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
197301,-,Wilda,0,1973-06-28T14:00:00,1973-07-06T08:00:00,"[{'position': '福建省.漳州市.龙海市.隆教', 'land_time': '1973/7/3 14:00:00', 'lng': 118.123032, 'lat': 24.269096}]",1973-07-03T02:00:00,117.7,22.8,台风(TY),12,35,,,980,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,
