tfbh,name,ename,is_current,begin_time,end_time,land,time,lng,lat,strong,power,speed,move_dir,move_speed,pressure,radius7,radius10,radius12,radius7_quad,radius10_quad,radius12_quad,remark,forecast,ident,isCurrent,beginTime,endTime,moveDir,moveSpeed,r7,r10,r12,r7Quad,r10Quad,r12Quad
197801,-,Olive,0.0,1978-04-17T08:00:00,1978-04-28T08:00:00,[],1978-04-17T08:00:00,141.2,6.2,,5,10,,,1005,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
197801,-,Olive,0.0,1978-04-17T08:00:00,1978-04-28T08:00:00,[],1978-04-17T14:00:00,139.9,6.7,,5,10,,,1004,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
197801,-,Olive,0.0,1978-04-17T08:00:00,1978-04-28T08:00:00,[],1978-04-17T20:00:00,138.4,7.3,,5,10,,,1004,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
197801,-,Olive,0.0,1978-04-17T08:00:00,1978-04-28T08:00:00,[],1978-04-18T02:00:00,137.0,7.8,,5,10,,,1004,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
197801,-,Olive,0.0,1978-04-17T08:00:00,1978-04-28T08:00:00,[],1978-04-18T08:00:00,135.6,8.3,热带低压(TD),7,15,,,1003,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
197801,-,Olive,0.0,1978-04-17T08:00:00,1978-04-28T08:00:00,[],1978-04-18T14:00:00,134.0,8.6,热带低压(TD),7,15,,,1003,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
197801,-,Olive,0.0,1978-04-17T08:00:00,1978-04-28T08:00:00,[],1978-04-18T20:00:00,132.5,9.0,热带低压(TD),7,15,,,1000,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
197801,-,Olive,0.0,1978-04-17T08:00:00,1978-04-28T08:00:00,[],1978-04-19T02:00:00,131.4,9.3,热带风暴(TS),8,20,,,998,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
197801,-,Olive,0.0,1978-04-17T08:00:00,1978-04-28T08:00:00,[],1978-04-19T08:00:00,129.8,9.7,热带风暴(TS),8,20,,,995,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
197801,-,Olive,0.0,1978-04-17T08:00:00,1978-04-28T08:00:00,[],1978-04-19T14:00:00,128.5,10.0,强热带风暴(STS),10,25,,,992,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
197801,-,Olive,0.0,1978-04-17T08:00:00,1978-04-28T08:00:00,[],1978-04-19T20:00:00,127.1,10.4,强热带风暴(STS),10,25,,,990,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
197801,-,Olive,0.0,1978-04-17T08:00:00,1978-04-28T08:00:00,[],1978-04-20T02:00:00,126.0,10.9,强热带风暴(STS),10,25,,,988,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
197801,-,Olive,0.0,1978-04-17T08:00:00,1978-04-28T08:00:00,[],1978-04-20T08:00:00,124.8,11.4,强热带风暴(STS),11,30,,,985,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
197801,-,Olive,0.0,1978-04-17T08:00:00,1978-04-28T08:00:00,[],1978-04-20T14:00:00,123.5,11.9,强热带风暴(STS),11,30,,,985,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
197801,-,Olive,0.0,1978-04-17T08:00:00,1978-04-28T08:00:00,[],1978-04-20T20:00:00,122.3,12.3,强热带风暴(STS),11,30,,,985,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
197801,-,Olive,0.0,1978-04-17T08:00:00,1978-04-28T08:00:00,[],1978-04-21T02:00:00,121.0,12.8,强热带风暴(STS),10,25,,,990,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
197801,-,Olive,0.0,1978-04-17T08:00:00,1978-04-28T08:00:00,[],1978-04-21T08:00:00,119.6,13.0,强热带风暴(STS),10,25,,,990,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
197801,-,Olive,0.0,1978-04-17T08:00:00,1978-04-28T08:00:00,[],1978-04-21T14:00:00,118.8,13.2,强热带风暴(STS),10,25,,,988,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
197801,-,Olive,0.0,1978-04-17T08:00:00,1978-04-28T08:00:00,[],1978-04-21T20:00:00,118.0,13.4,强热带风暴(STS),11,30,,,985,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,,,,,,
