tfbh,ident,name,ename,isCurrent,beginTime,endTime,land,time,lng,lat,strong,power,speed,moveDir,moveSpeed,pressure,r7,r10,r12,r7Quad,r10Quad,r12Quad,remark,forecast,is_current,begin_time,end_time,move_dir,move_speed,radius7,radius10
199701,199701,-,ISA,0.0,1997-04-12T08:00:00,1997-04-24T20:00:00,[],1997-04-12T08:00:00,158.5,7.5,,5,10,,,1002,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,
199701,199701,-,ISA,0.0,1997-04-12T08:00:00,1997-04-24T20:00:00,[],1997-04-12T14:00:00,158.1,7.4,热带低压(TD),6,12,,,1002,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,
199701,199701,-,ISA,0.0,1997-04-12T08:00:00,1997-04-24T20:00:00,[],1997-04-12T20:00:00,157.7,7.4,热带低压(TD),7,15,,,1000,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,
199701,199701,-,ISA,0.0,1997-04-12T08:00:00,1997-04-24T20:00:00,[],1997-04-13T02:00:00,157.3,7.6,热带低压(TD),7,15,,,1000,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,
199701,199701,-,ISA,0.0,1997-04-12T08:00:00,1997-04-24T20:00:00,[],1997-04-13T08:00:00,157.0,8.0,热带低压(TD),7,15,,,1000,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,
199701,199701,-,ISA,0.0,1997-04-12T08:00:00,1997-04-24T20:00:00,[],1997-04-13T14:00:00,157.0,8.5,热带风暴(TS),8,18,,,995,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,
199701,199701,-,ISA,0.0,1997-04-12T08:00:00,1997-04-24T20:00:00,[],1997-04-13T20:00:00,156.9,8.9,热带风暴(TS),8,18,,,995,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,
199701,199701,-,ISA,0.0,1997-04-12T08:00:00,1997-04-24T20:00:00,[],1997-04-14T02:00:00,156.5,9.3,热带风暴(TS),8,18,,,995,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,
199701,199701,-,ISA,0.0,1997-04-12T08:00:00,1997-04-24T20:00:00,[],1997-04-14T08:00:00,155.4,9.8,热带风暴(TS),8,20,,,995,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,
199701,199701,-,ISA,0.0,1997-04-12T08:00:00,1997-04-24T20:00:00,[],1997-04-14T14:00:00,154.3,10.2,热带风暴(TS),8,20,,,992,,,,"{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}","{'ne': None, 'se': None, 'sw': None, 'nw': None}",,,,,,,,,
