tfbh,name,ename,is_current,begin_time,end_time,land,time,lng,lat,strong,power,speed,move_dir,move_speed,pressure,radius7,radius10,remark,forecast
201001,奥麦斯,OMAIS,0,2010-03-23T20:00:00,2010-03-26T14:00:00,[],2010-03-23T20:00:00,133.4,13.2,热带风暴(TS),8,18,北西,15.0,1000,200.0,,,
201001,奥麦斯,OMAIS,0,2010-03-23T20:00:00,2010-03-26T14:00:00,[],2010-03-24T20:00:00,133.4,13.2,热带风暴(TS),8,18,北西,15.0,1000,200.0,,,
201001,奥麦斯,OMAIS,0,2010-03-23T20:00:00,2010-03-26T14:00:00,[],2010-03-25T02:00:00,132.5,13.8,热带风暴(TS),8,18,,,998,200.0,,,
201001,奥麦斯,OMAIS,0,2010-03-23T20:00:00,2010-03-26T14:00:00,[],2010-03-25T08:00:00,132.3,14.7,热带风暴(TS),8,18,北北西,15.0,998,200.0,,,
201001,奥麦斯,OMAIS,0,2010-03-23T20:00:00,2010-03-26T14:00:00,[],2010-03-25T14:00:00,131.8,15.3,热带风暴(TS),8,18,北西北,10.0,998,150.0,,,
201001,奥麦斯,OMAIS,0,2010-03-23T20:00:00,2010-03-26T14:00:00,[],2010-03-25T20:00:00,132.1,16.2,热带风暴(TS),8,18,,,998,150.0,,,
201001,奥麦斯,OMAIS,0,2010-03-23T20:00:00,2010-03-26T14:00:00,[],2010-03-26T02:00:00,132.2,17.0,热带风暴(TS),8,18,北北东,15.0,1000,150.0,,,
201001,奥麦斯,OMAIS,0,2010-03-23T20:00:00,2010-03-26T14:00:00,[],2010-03-26T08:00:00,131.4,17.4,热带风暴(TS),8,18,东北偏北,15.0,1000,150.0,,,
201001,奥麦斯,OMAIS,0,2010-03-23T20:00:00,2010-03-26T14:00:00,[],2010-03-26T14:00:00,131.8,17.7,热带风暴(TS),8,18,东北,10.0,1000,150.0,,,
201002,康森,CONSON,0,2010-07-12T08:00:00,2010-07-18T02:00:00,[],2010-07-12T08:00:00,130.5,14.3,热带风暴(TS),8,18,西北西,20.0,998,150.0,,,
201002,康森,CONSON,0,2010-07-12T08:00:00,2010-07-18T02:00:00,[],2010-07-12T14:00:00,129.3,14.3,热带风暴(TS),9,23,西北偏西,25.0,990,150.0,,,
